Nom de domaine,Pays BE,Departement BE,Ville BE,Nom BE,Sous domaine,Type du titulaire,Pays titulaire,Departement titulaire,Domaine IDN,Date de crtion,Date de retrait du WHOIS,
biodiversite-en-action.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,29-08-2016,,
bison-fute.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,24-04-2006,,
bjfp.fonction-publique.gouv.fr,,,,,,,,,,,,
bloctel.gouv.fr,,,,,,,,,,,,
blog.diplomatie.gouv.fr,,,,,,,,,,,,
blog.en.strategie.gouv.fr,,,,,,,,,,,,
blog.strategie.gouv.fr,,,,,,,,,,,,
blogs.economie.gouv.fr,,,,,,,,,,,,
bmpm.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,13,0,11-03-2005,,
bofip.impots.gouv.fr,,,,,,,,,,,,
boss.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,26-03-2019,,
bouches-du-rhone.gouv.fr,FR,13,MARSEILLE CEDEX 03,SAFEBRANDS,gouv.fr,ORG,FR,75,0,05-01-2010,,
bougezautrement.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,02-03-2009,,
bourget.cop21.gouv.fr,,,,,,,,,,,,
bourgogne-franche-comte.gouv.fr,FR,13,MARSEILLE CEDEX 03,SAFEBRANDS,gouv.fr,ORG,FR,75,0,28-10-2015,,
bourgogne.gouv.fr,FR,13,MARSEILLE CEDEX 03,SAFEBRANDS,gouv.fr,ORG,FR,75,0,12-11-2010,,
bourse.beta.gouv.fr,,,,,,,,,,,,
bourses-calculateur.education.gouv.fr,,,,,,,,,,,,
bourses-simulateur.education.gouv.fr,,,,,,,,,,,,
bretagne.direccte.gouv.fr,,,,,,,,,,,,
bretagne.gouv.fr,FR,13,MARSEILLE CEDEX 03,SAFEBRANDS,gouv.fr,ORG,FR,75,0,12-11-2010,,
bretagne.pref.gouv.fr,,,,,,,,,,,,
brexit.gouv.fr,,,,,,,,,,,,
budget-2014.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,17-09-2013,15-11-2015,
budget.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,05-07-2007,,
budget2007.gouv.fr,FR,92,BOULOGNE BILLANCOURT,PROSODIE,gouv.fr,ORG,FR,75,0,19-09-2006,18-12-2014,
budgetplus.finances.gouv.fr,,,,,,,,,,,,
c2i.enseignementsup-recherche.gouv.fr,,,,,,,,,,,,
ca.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,35,0,14-01-2005,,
cab-emploi.gouv.fr,FR,92,LA DEFENSE CEDEX,COMPLETEL SAS FRANCE,gouv.fr,ORG,FR,75,0,30-11-2010,04-01-2018,
cab-ville.gouv.fr,FR,92,LA DEFENSE CEDEX,COMPLETEL SAS FRANCE,gouv.fr,ORG,FR,75,0,15-12-2010,04-01-2018,
cache.media.education.gouv.fr,,,,,,,,,,,,
cache.media.enseignementsup-recherche.gouv.fr,,,,,,,,,,,,
cada.data.gouv.fr,,,,,,,,,,,,
cadastre.data.gouv.fr,,,,,,,,,,,,
cadastre.gouv.fr,,,,,,,,,,,,
cae.gouv.fr,,,,,,,,,,,,
calvados.gouv.fr,FR,13,MARSEILLE CEDEX 03,SAFEBRANDS,gouv.fr,ORG,FR,75,0,05-01-2010,,
candhis.cetmef.developpement-durable.gouv.fr,,,,,,,,,,,,
cantal.gouv.fr,FR,13,MARSEILLE CEDEX 03,SAFEBRANDS,gouv.fr,ORG,FR,75,0,05-01-2010,,
caom.archivesnationales.culture.gouv.fr,,,,,,,,,,,,
carmen.application.developpement-durable.gouv.fr,,,,,,,,,,,,
carmen.developpement-durable.gouv.fr,,,,,,,,,,,,
carte-musique.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,02-06-2010,,
cartelie.application.developpement-durable.gouv.fr,,,,,,,,,,,,
cartelie.application.equipement.gouv.fr,,,,,,,,,,,,
carto.datara.gouv.fr,,,,,,,,,,,,
carto.ecologie.gouv.fr,,,,,,,,,,,,
carto.geo-ide.application.developpement-durable.gouv.fr,,,,,,,,,,,,
carto.languedoc-roussillon.ecologie.gouv.fr,,,,,,,,,,,,
cas.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,27-02-2006,,
casier-judiciaire.justice.gouv.fr,,,,,,,,,,,,
catalogue.ifore.developpement-durable.gouv.fr,,,,,,,,,,,,
cca.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,07-02-2003,,
cdn.diplomatie.gouv.fr,,,,,,,,,,,,
cdn.isoprod.education.gouv.fr,,,,,,,,,,,,
cefdg2018.enseignementsup-recherche.gouv.fr,,,,,,,,,,,,
centre-documentation-segur.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,03-10-2018,,
centre-documentation-spm.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,22-11-2018,,
centre-val-de-loire.gouv.fr,FR,13,MARSEILLE CEDEX 03,SAFEBRANDS,gouv.fr,ORG,FR,75,0,28-10-2015,,
centre.ecologie.gouv.fr,,,,,,,,,,,,
centre.gouv.fr,,,,,,,,,,,,
cerc.gouv.fr,,,,,,,,,,,,
cerfa.gouv.fr,,,,,,,,,,,,
cert.ssi.gouv.fr,,,,,,,,,,,,
certa.ssi.gouv.fr,,,,,,,,,,,,
certibercy.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,23-04-2009,,
certificat-air.gouv.fr,,,,,,,,,,,,
cesm.marine.defense.gouv.fr,,,,,,,,,,,,
cestmonpatrimoine.culture.gouv.fr,,,,,,,,,,,,
cesu.gouv.fr,FR,92,LA DEFENSE CEDEX,COMPLETEL SAS FRANCE,gouv.fr,ORG,FR,75,0,05-11-2009,04-01-2018,
cetu.gouv.fr,FR,75,PARIS 15,ORANGE,gouv.fr,ORG,FR,69,0,20-02-2003,,
cfspart.impots.gouv.fr,,,,,,,,,,,,
cfspro.impots.gouv.fr,,,,,,,,,,,,
cget.gouv.fr,,,,,,,,,,,,
champagne-ardenne.gouv.fr,FR,13,MARSEILLE CEDEX 03,SAFEBRANDS,gouv.fr,ORG,FR,75,0,12-11-2010,,
changement-adresse.gouv.fr,FR,92,LA DEFENSE CEDEX,COMPLETEL SAS FRANCE,gouv.fr,ORG,FR,75,0,28-04-2006,,
changementadresse.gouv.fr,FR,92,BOULOGNE BILLANCOURT,PROSODIE,gouv.fr,,,,0,29-04-2005,26-05-2014,
charente-maritime.gouv.fr,FR,13,MARSEILLE CEDEX 03,SAFEBRANDS,gouv.fr,ORG,FR,75,0,05-01-2010,,
charente.gouv.fr,FR,13,MARSEILLE CEDEX 03,SAFEBRANDS,gouv.fr,ORG,FR,75,0,05-01-2010,,
cheminsdememoire.gouv.fr,,,,,,,,,,,,
chequeenergie.gouv.fr,,,,,,,,,,,,
cher.gouv.fr,FR,13,MARSEILLE CEDEX 03,SAFEBRANDS,gouv.fr,ORG,FR,75,0,05-01-2010,,
